112;"Paracetamol
500 mg";"Demam &
Nyeri";"Menurunkan
demam dan
meredakan
nyeri ringan-
sedang";"Tablet
strip";3000;Strip 10: tablet ± Rp3.000 – Rp8.000;Diminum setelah makan bila lambung sensitif;500 mg 3 – 4x sehari;"Mual; ruam ";Alkohol, warfarin;Maksimal 3 – 5 hari tanpa resep dokter;Paracetamol 500 mg;Gangguan hati berat;;;https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=1200&q=80
113;"Ibuprofen
400 mg";"Nyeri &
Inflamasi";"Mengurangi
nyeri, sakit
gigi, nyeri
haid";Tablet ;5000;Strip 10: tablet ± Rp5.000 – Rp12.000;Sesudah makan;200–400 mg 3x sehari;"Nyeri lambung; mual";Aspirin, antikoagulan;Maksimal 5 hari;Ibuprofen 400 mg;Tukak lambung aktif;;;https://images.unsplash.com/photo-1626716493137-b67fe9501e76?auto=format&fit=crop&w=1200&q=80
114;"Amoxicillin
500 mg";"Infeksi
Bakteri";"Mengatasi
infeksi
bakteri";Kapsul ;10000;Strip 10: kapsul ± Rp10.000 – Rp25.000;Harus dihabiskan sesuai resep;500 mg 3x sehari;"Diare; alergi";Allopurinol, methotrexate;5–7 hari atau sesuai resep;Amoxicillin trihydrate;Alergi penisilin;;;https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&w=1200&q=80
115;"Cetirizine 10
mg ";Alergi;"Mengatasi
bersin dan
gatal alergi";Tablet ;4000;Strip: ± Rp4.000 – Rp15.000;Diminum malam hari bila mengantuk;10 mg 1x sehari;"Kantuk; mulut kering";Alkohol, obat tidur;Sesuai gejala;Cetirizine HCl 10 mg;Hipersensitivitas cetirizine;;;https://images.unsplash.com/photo-1587854692152-cbe660dbde88?auto=format&fit=crop&w=1200&q=80
116;"Omeprazole
20 mg";"Asam
Lambung";"Mengurangi
produksi
asam
lambung";Kapsul ;8000;Strip: ± Rp8.000 – Rp20.000;Sebelum makan;20 mg 1x sehari;"Sakit kepala; mual";Clopidogrel;2–8 minggu;Omeprazole 20 mg;Alergi omeprazole;;;https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?auto=format&fit=crop&w=1200&q=80
117;"Loperamide 2
mg ";Diare;"Mengurangi
frekuensi
BAB cair";"Tablet/
Kapsul ";6000;Strip: ± Rp6.000 – Rp15.000;Sesudah BAB cair;2 mg setelah BAB cair;"Sembelit; pusing";Antibiotik tertentu;Maksimal 2 hari tanpa dokter;Loperamide HCl;Diare berdarah;;;https://images.unsplash.com/photo-1607619056574-7b8d3ee536b2?auto=format&fit=crop&w=1200&q=80
118;CTM ;"Alergi &
Flu";"Mengurangi
gejala alergi
dan pilek";Tablet ;2000;Strip: ± Rp2.000 – Rp5.000;Sesudah makan;1 tablet 3x sehari ;Kantuk;Alkohol, sedatif;Sesuai gejala;Chlorpheniramine maleate;Glaukoma;;;https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&w=1200&q=80
119;Oralit ;Dehidrasi;"Mengganti
cairan tubuh
saat diare";Sachet ;2500;Sachet: ± Rp2.500 – Rp5.000;Larutkan dalam air matang;Sesuai kebutuhan;Mual bila berlebih;Tidak signifikan;Sampai dehidrasi membaik;Natrium klorida, kalium;Gangguan ginjal berat;;;https://images.unsplash.com/photo-1573883431205-98b5f10aaedb?auto=format&fit=crop&w=1200&q=80
120;"Amlodipine 5
mg";Hipertensi;"Menurunkan
tekanan
darah";Tablet;8000;Strip: ± Rp8.000 – Rp20.000;Diminum rutin;5 mg 1x sehari;"Pusing; bengkak kaki";Simvastatin;Jangka panjang sesuai dokter;Amlodipine besylate;Hipotensi berat;;;https://images.unsplash.com/photo-1587855094426-45c7d4d6b2f3?auto=format&fit=crop&w=1200&q=80
121;"Metformin
500 mg";Diabetes ;"Mengontrol
gula darah ";Tablet ;7000;Strip: ± Rp7.000 – Rp20.000;Sesudah makan;500 mg 2 – 3x sehari;"Diare; mual";Alkohol;Jangka panjang;Metformin HCl;Gagal ginjal berat;;;https://images.unsplash.com/photo-1628771065518-0d82f1938462?auto=format&fit=crop&w=1200&q=80
122;"Salbutamol 2
mg ";Asma ;"Meredakan
sesak napas";"Tablet/
Sirup";10000;Strip: ± Rp10.000 – Rp25.000;Sesuai anjuran dokter;2 – 4 mg 3x sehari;Jantung berdebar;Beta blocker;Sesuai kebutuhan;Salbutamol sulfate;Aritmia berat;;;https://images.unsplash.com/photo-1603398938378-e54eab446dde?auto=format&fit=crop&w=1200&q=80
123;"Domperidone
10 mg";"Mual &
Muntah";"Mengurangi
mual
muntah";Tablet ;5000;Strip: ± Rp5.000 – Rp15.000;15 – 30 menit sebelum makan;10 mg 3x sehari;Mulut kering;Ketoconazole;Maksimal 7 hari;Domperidone;Gangguan jantung tertentu;;;https://images.unsplash.com/photo-1585435557343-3b092031d4f7?auto=format&fit=crop&w=1200&q=80
124;"Allopurinol
100 mg";Asam Urat;"Menurunkan
kadar asam
urat";Tablet ;6000;Strip: ± Rp6.000 – Rp18.000;Setelah makan;100 – 300 mg perhari;"
Ruam";Amoxicillin;Jangka panjang;Allopurinol;Gangguan hati berat;;;https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&w=1200&q=80
125;"Vitamin C 500
mg ";Suplemen;"Membantu
menjaga
daya tahan
tubuh";Tablet ;4000;Strip: ± Rp4.000 – Rp15.000;Sesudah makan;1 tablet sehari;Nyeri lambung;Antasida tertentu;Sesuai kebutuhan;Ascorbic acid;Batu ginjal tertentu;;;https://images.unsplash.com/photo-1584017911766-d451b3d0e843?auto=format&fit=crop&w=1200&q=80
126;Zinc Sulfate;"Diare
Anak &
Imunitas";"Membantu
terapi diare";"Tablet/
Sirup ";8000;"Botol/
strip: ± Rp8.000 – Rp20.000";Sesudah makan;Sesuai usia ;Mual;Antibiotik quinolone;10–14 hari;Zinc sulfate;Alergi zinc;;;https://images.unsplash.com/photo-1612531386530-97286d97c2d2?auto=format&fit=crop&w=1200&q=80
127;Ranitidine;Lambung;"Mengurangi
gejala maag
dan GERD";Tablet ;5000;Strip: ± Rp5.000 – Rp15.000;Sebelum makan;150 mg 2x sehari;Sakit kepala;Antijamur tertentu;Maksimal sesuai resep;Ranitidine HCl;Hipersensitivitas;;;https://images.unsplash.com/photo-1587854692152-cbe660dbde88?auto=format&fit=crop&w=1200&q=80
128;"Mefenamic
Acid 500 mg ";Nyeri;"Meredakan
nyeri
sedang";Tablet;5000;Strip: ± Rp5.000 – Rp15.000;Sesudah makan;500 mg 3x sehari;Nyeri lambung;Antikoagulan;Maksimal 7 hari;Asam mefenamat;Tukak lambung;;;https://images.unsplash.com/photo-1628771065518-0d82f1938462?auto=format&fit=crop&w=1200&q=80
129;"Loratadine 10
mg";Alergi;"Mengatasi
gatal dan
bersin";Tablet;6000;Strip: ± Rp6.000 – Rp18.000;1x sehari ;10 mg sehari;Mengantuk ringan;Alkohol;Sesuai gejala;Loratadine;Gangguan hati berat;;;https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=1200&q=80
130;"Captopril 25
mg";Hipertensi;"Menurunkan
tekanan
darah";Tablet ;4000;Strip: ± Rp4.000 – Rp12.000;Sebelum makan;12,5 – 25 mg 2 – 3x sehari;Batuk kering;Diuretik;Jangka panjang;Captopril;Kehamilan;;;https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&w=1200&q=80
131;Antimo ;"Mabuk
Perjalanan";"Mencegah
mual saat
perjalanan";Tablet ;3000;Strip: ± Rp3.000 – Rp10.000;30 menit sebelum perjalanan;1 tablet ;Kantuk;Alkohol;Sesuai kebutuhan;Dimenhydrinate;Glaukoma;;;https://images.unsplash.com/photo-1526256262350-7da7584cf5eb?auto=format&fit=crop&w=1200&q=80
