id_obat;nama_obat;kategori_penyakit;indikasi;satuan_tersedia;harga_mulai;harga_detail;aturan_pemakaian;dosis;efek_samping;interaksi_obat;jangka_waktu_penggunaan;komposisi;kontra_indikasi;stok;image
0;Antasida Doen Tablet Kunyah;Lambung;Obat sakit maag untuk mengurangi nyeri lambung yang disebabkan oleh kelebihan asam lambung dengan gejala seperti mual, perih kembung.;Box, Strip;2000;"Strip: Rp2.000; Box: Rp16.000";"Sebaiknya diberikan pada saat perut kosong; Berikan 1-2 jam setelah makan sebelum tidur; Kunyah tablet degan baik sebelum ditelan";"Dewasa: 1-2 tablet, 3-4 kali per hari.; Anak 6-12 tahun: 0.5-1 tablet, 3-4 kali per hari";"kadang-kadang terjadi konstipasi, diare; Mual, muntah; Hypophosphatemia osteomalacia (pada pemberian dosis besar untuk jangka lama bila kadar phosphate rendah); Dialysis dementis pada pemberian jangka panjang pada pasien dialisis";Aluminium hydroxide akan mengurangi absorpsi bermacam- macam vitamin Tetracyclin;Jangan digunakan selama 2 minggu;"Aluminium Hydroxide 200 mg; Magnesium Hydroxide 200 mg";"Disfungsi ginjal berat; hipersensitif; obstruksi saluran pencernaan; pasien yang sangat lemah";;https://tse.mm.bing.net/th?q=Antasida%20Doen%20Tablet%20Kunyah%20obat%20kemasan
1;Dexanta Tablet Kunyah;Lambung;Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung;Box, Strip;3000;"Strip: Rp3.000; Box: Rp30.000";"Diberikan diantara waktu makan; Tablet dikunyah sampai halus sebelum ditelan";all: 3 x sehari 1-2 tablet kunyah;"Konstipasi; diare; mual; muntah; Gejala akan hilang bila pemakaian obat dihentikan";Pemberian bersama dengan cimetidine atau tetracycline dapat mengurangi absorpsi cimetidine atau tetracycline;bukan untuk dikonsumsi secara rutin atau jangka panjang;"Aluminium Hydroxide 200 mg; Magnesium Hydroxide 200 mg; Simethicone 50 mg";Tidak boleh diberikan pada pasien dengan gangguan fungsi ginjal yang berat;;https://tse.mm.bing.net/th?q=Dexanta%20Tablet%20Kunyah%20obat%20kemasan
2;Esemag Cair;Lambung;Membantu meringankan gangguan lambung, seperti mual, muntah, rasa perih atau tidak enak di ulu hati.;Box, Pcs;2000;"Pcs: Rp2.000; Box: Rp9.500";sebelum atau sesudah makan;all: 3 x sehari @ 1 sachet;;;;"Curcuma domestica Rhizoma Extract 500 mg; Licorice Extract (Glycyrrhiza glabra Radix) 20 mg; Phyllanthus niruri Herba Extract 50 mg; Gula Fruktosa Madu dan bahan lain 10 ml";Pada pasien yang memiliki riwayat hipersensitifitas terhadap kandungan komposisi pada produk ini;;https://tse.mm.bing.net/th?q=Esemag%20Cair%20obat%20kemasan
3;Gastrucid Cair;Lambung;Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung;;0;;Diminum 1 jam sebelum makan atau 2 jam setelah makan menjelang tidur.;"Dewasa: 3-4 kali sehari 1-2 sendok takar 5-10 ml; Anak-anak 6-12 tahun: 3-4 kali sehari 12-1 sendok takar 2.5-5 ml";"efek_samping yang umum adalah sembelit; diare; mual; muntah; gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut;Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung;"Aluminium Hydroxide 325 mg; Magnesium Hydroxide 325 mg; Simethicone 50 mg";"Jangan diberikan pada penderita gangguan fungsi ginjal yang berat; karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat";;https://tse.mm.bing.net/th?q=Gastrucid%20Cair%20obat%20kemasan
4;Gastrucid Tablet Kunyah;Lambung;Mengurangi gejala kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari seperti mual, nyeri lambung, nyeri ulu hati, kembung perasaan penuh pada lambung;Box, Strip;4500;"Strip: Rp4.500; Box: Rp41.500";1 jam sesudah makan sebelum tidur malam, tablet dikunyah sampai halus sebelum ditelan;all: 3 x sehari 1-2 tablet kunyah;"efek_samping yang umum adalah sembelit; diare; mual; muntah; gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan.";Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut;Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung;"Aluminium Hydroxide 325 mg; Magnesium Hydroxide 325 mg; Simethicone 50 mg";"Jangan diberikan pada penderita gangguan fungsi ginjal yang berat; karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat";;https://tse.mm.bing.net/th?q=Gastrucid%20Tablet%20Kunyah%20obat%20kemasan
5;Mylanta Cair;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati;Cair 150 Ml, Cair 50 Ml;17500;"Cair 50 Ml: Rp17.500; Cair 150 Ml: Rp46.500";Dikonsumsi 1 jam sebelum makan atau 2 jam sesudah makan menjelang tidur;"Dewasa: 1-2 sendok takar 5-10 mL 3-4 kali sehari; Anak-anak 6 - 12 tahun: 12 - 1 sendok takar 2.5 - 5 mL, sebanyak 3-4 kali sehari";"efek_samping yang umum adalah sembelit; diare; mual; muntah; sensasi terbakar di mulut atau tenggorokan; dysgeusia atau persepsi rasa berubah; reaksi hipersensitifitas termasuk ruam; urtikaria; angioedema. Gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir;Tidak dianjurkan untuk digunakan secara terus menerus selama lebih dari 2 minggu, kecuali atas petunjuk dokter;"Aluminium hidroksida kering 200 mg; Magnesium hidroksida 200 mg; Simetikon 20 mg";"Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia (kadar magnesium dalam darah meningkat); Tidak boleh digunakan pada pasien yang hipersensitif terhadap aluminium hidroksida, magnesium hidroksida, simetikon atau komponen lain dalam formulasi obat ini";;https://tse.mm.bing.net/th?q=Mylanta%20Cair%20obat%20kemasan
6;Mylanta Tablet Kunyah;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala- gejala seperti mual, nyeri lambung, nyeri ulu hati;Box, Strip;9000;"Strip: Rp9.000; Box: Rp87.500";Diminum 1 jam sebelum makan atau 2 jam setelah makan menjelang tidur, sebaiknya dikunyah dahulu;"Dewasa: 1-2 tablet, diberikan 3-4 kali sehari.; Anak-anak 6-12 tahun: 0.5-1 tablet, diberikan 1-2 kali sehari";"efek_samping yang umum adalah sembelit; diare; mual; muntah; sensasi terbakar di mulut atau tenggorokan; dysgeusia atau persepsi rasa berubah; reaksi hipersensitifitas termasuk ruam; urtikaria; angioedema. Gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir;Obat ini dapat bekerja cepat, tetapi tidak boleh digunakan untuk jangka panjang;"Aluminium hidroksida kering 200 mg; Magnesium hidroksida 200 mg; Simetikon 20 mg";"Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia (kadar magnesium dalam darah meningkat); Tidak boleh digunakan pada pasien yang hipersensitif terhadap aluminium hidroksida, magnesium hidroksida, simetikon atau komponen lain dalam formulasi obat ini";;https://tse.mm.bing.net/th?q=Mylanta%20Tablet%20Kunyah%20obat%20kemasan
7;New Enzyplex Tablet;Lambung;Membantu proses pencernaan, bermanfaat mencegah mengatasi gangguan pencernaan seperti rasa sebah, kembung, rasa penuh pada lambung keadaan-keadaan dimana dibutuhkan peningkatan enzim pencernaan seperti makan terlalu banyak, intoleransi terhadap makanan, salah cerna lain-lain gangguan pencernaan fungsional;All;11500;All: Rp11.500;Pada waktu makan, sesudah makan atau sesuai anjuran petunjuk dokter;all: 1-2 tablet per hari;"efek_samping yang paling sering terjadi adalah Ketidaknyamanan perut; Konstipasi Dermatitis; Reaksi gastrointestinal lainnya yang jarang terjadi adalah Diarea; Mulas; Mual dan Muntah; Dapat terjadi reaksi hipersensitifitas";"Konsumsi vitamin B6 di atas 5-10 mg per hari dapat mengurangi efektivitas levodopa; Mempengaruhi durasi altretamine dan meningkatkan fotosensitifitas yang diinduksi oleh amiodaron, dan mengurangi konsentrasi fenitoin";;"Amilase 10000 sat; Protease 9000 sat; Lipase 240 sat; Asam desoksikholat 30 mg; Dimetilpolisiloksan 25 mg; Vitamin b1 10 mg; Vitamin b2 5 mg; Vitamin b6 5 mg; Vitamin b12 5 mg; Niasinamid 10 mg; Kalsium Pantotenat 5 mg";"Hipersensitif terhadap salah satu komponen obat; Kontraindikasi untuk pasien yang sedang mengalami pankreatitis akut atau eksaserbasi pankreatitis kronis akut; Kontraindikasi untuk pasien yang menggunakan antikoagulan";;https://tse.mm.bing.net/th?q=New%20Enzyplex%20Tablet%20obat%20kemasan
8;Plantacid Forte Cair;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung;All;38500;All: Rp38.500;Berikan 1 jam sesudah makan dan menjelang tidur malam;"Dewasa: 3-4 kali sehari 5-10 ml; Anak-anak 6-12 tahun: 3-4 kali sehari 2.5-5 ml. Diberikan 1-2 jam setelah makan dan menjelang tidur";"Mual; muntah; konstipasi; diare. Gejala-gejala akan hilang bila pemakaian obat dihentikan.";Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut;Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama;"Dried Al. Hydroxide Gel 400 mg; Mg. Hydroxide 400 mg; Simethicone 100 mg";"Penderita yang hipersensitif terhadap aluminium, magnesium, simethicone; Penderita dengan gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesemia kadar magnesium dalam darah meningkat";;https://tse.mm.bing.net/th?q=Plantacid%20Forte%20Cair%20obat%20kemasan
9;Plantacid Forte Tablet Kunyah;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, tukak lambung, tukak usus 12 jari dengan gejala-gejala seperti mual dan kembung;Box, Strip;11500;"Strip: Rp11.500; Box: Rp102.000";Diberikan 1 jam sesudah makan dan menjelang tidur malam;"Dewasa: 3-4 x sehari 1 - 2 tablet Plantacid; Anak - anak 6-12 th: 3-4 x sehari 12 - 1 tablet Plantacid Plantacid Forte diberikan bila diperlukan dosis antasida yang lebih besar";"Mual; muntah; konstipasi; diare. Gejala-gejala akan hilang bila pemakaian obat dihentikan.";Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut;Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama;"Dried Al. Hydroxide Gel 400 mg; Mg. Hydroxide 400 mg; Simethicone 100 mg";"Penderita yang hipersensitif terhadap aluminium, magnesium, simethicone; Penderita dengan gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesemia kadar magnesium dalam darah meningkat";;https://tse.mm.bing.net/th?q=Plantacid%20Forte%20Tablet%20Kunyah%20obat%20kemasan
